"AQI","latitude","longitude","state_name"
47,33.553056,-86.815,"Alabama"
64,34.289001,-85.970065,"Alabama"
10,30.497478,-87.880258,"Alabama"
64,33.089772,-87.459733,"Alabama"
71,33.578333,-86.773889,"Alabama"
28,32.362606,-88.277992,"Alabama"
6,34.772727,-86.756174,"Alabama"
46,33.545278,-86.549167,"Alabama"
40,33.904039,-86.053867,"Alabama"
3,33.317142,-86.825754,"Alabama"
25,32.412811,-86.263394,"Alabama"
67,34.530717,-86.967536,"Alabama"
71,33.331111,-87.003611,"Alabama"
19,30.474305,-88.141022,"Alabama"
87,32.53568,-86.255193,"Alabama"
19,34.687761,-86.586362,"Alabama"
19,32.437028,-84.999653,"Alabama"
78,33.801667,-86.9425,"Alabama"
63,33.485556,-86.915,"Alabama"
16,30.770181,-88.087761,"Alabama"
84,64.84569,-147.727413,"Alaska"
29,63.7232,-148.9676,"Alaska"
54,33.41123,-111.93471,"Arizona"
64,33.61092,-111.72534,"Arizona"
21,32.38082,-111.12716,"Arizona"
87,33.488131,-111.855443,"Arizona"
82,33.507992,-111.755334,"Arizona"
13,33.629246,-111.676928,"Arizona"
50,33.82169,-112.01726,"Arizona"
52,34.82251,-109.89249,"Arizona"
87,33.63718,-112.34185,"Arizona"
1,33.474609,-111.805769,"Arizona"
34,33.70639,-111.85575,"Arizona"
8,33.54558,-111.60972,"Arizona"
83,34.2439,-113.5586,"Arizona"
71,33.508125,-111.83852,"Arizona"
75,32.690278,-114.61444,"Arizona"
1,33.48378,-112.14256,"Arizona"
13,33.41018,-111.86536,"Arizona"
9,33.45797,-112.04659,"Arizona"
52,33.47968,-111.91721,"Arizona"
18,32.204411,-110.878067,"Arizona"
21,32.29515,-110.9823,"Arizona"
26,33.293465,-111.285594,"Arizona"
11,33.36985,-112.62068,"Arizona"
10,33.031038,-112.078111,"Arizona"
11,34.612055,-112.463213,"Arizona"
41,36.05864,-112.1836,"Arizona"
49,33.57453,-112.19193,"Arizona"
41,33.40314,-112.07526,"Arizona"
63,33.6547,-111.1074,"Arizona"
17,31.87952,-110.99644,"Arizona"
66,32.508306,-111.308056,"Arizona"
70,33.290229,-112.160597,"Arizona"
53,33.503833,-112.095767,"Arizona"
6,32.954361,-111.76225,"Arizona"
85,35.206111,-111.652777,"Arizona"
57,32.00941,-109.38906,"Arizona"
29,33.45244,-111.73327,"Arizona"
54,33.29896,-111.88426,"Arizona"
53,32.04767,-110.774357,"Arizona"
4,33.081704,-111.752943,"Arizona"
70,33.4214,-111.5436,"Arizona"
63,33.56031,-112.06619,"Arizona"
56,33.9828,-111.79871,"Arizona"
85,32.174538,-110.737116,"Arizona"
29,32.425261,-111.06352,"Arizona"
32,32.172995,-110.980134,"Arizona"
30,34.756189,-92.281296,"Arkansas"
78,34.1795,-93.0988,"Arkansas"
30,34.454514,-94.143521,"Arkansas"
87,35.197288,-90.193141,"Arkansas"
77,36.011703,-94.167436,"Arkansas"
26,34.835721,-92.260581,"Arkansas"
87,35.832726,-93.20826,"Arkansas"
67,36.1797,-94.116827,"Arkansas"
14,36.597442,-119.503659,"California"
32,36.819449,-119.716433,"California"
38,37.71325,-119.7062,"California"
44,34.06957,-116.38893,"California"
90,36.48947,-118.82915,"California"
77,36.508611,-116.847778,"California"
81,34.06659,-118.22688,"California"
51,40.53999,-121.57646,"California"
64,32.57816,-116.92135,"California"
74,32.789565,-116.944308,"California"
7,38.613779,-121.368014,"California"
22,36.48324,-121.15688,"California"
47,33.217055,-117.396177,"California"
59,37.348497,-121.894898,"California"
26,32.845709,-117.123964,"California"
60,37.743649,-121.934188,"California"
89,37.360684,-118.330783,"California"
9,37.687526,-121.784217,"California"
87,36.867125,-120.010158,"California"
31,33.99958,-117.41601,"California"
10,38.683304,-121.164457,"California"
84,32.842318,-116.768293,"California"
64,34.276316,-118.683685,"California"
80,34.25239,-119.143182,"California"
62,35.23918,-118.78863,"California"
84,36.78538,-119.77321,"California"
14,33.793713,-118.171019,"California"
51,34.1365,-117.92391,"California"
24,34.38344,-118.5284,"California"
75,35.64368,-120.23135,"California"
49,38.66121,-121.73269,"California"
34,35.356615,-119.062613,"California"
73,34.06703,-117.7514,"California"
28,35.35472,-120.04019,"California"
47,40.262072,-122.092766,"California"
70,34.05111,-118.45636,"California"
58,39.205572,-121.820362,"California"
58,33.61235,-114.60209,"California"
87,34.54166,-119.79146,"California"
43,38.494475,-121.211131,"California"
77,33.944713,-116.830074,"California"
17,39.100174,-120.953832,"California"
39,34.44806,-119.2313,"California"
39,33.213611,-115.54528,"California"
53,38.74643,-121.26498,"California"
57,36.209286,-121.126371,"California"
0,32.710177,-117.142665,"California"
46,35.503587,-119.272606,"California"
3,38.93568,-121.09959,"California"
67,34.669739,-118.130511,"California"
73,34.63782,-120.4575,"California"
2,34.106678,-117.274063,"California"
33,38.006311,-121.641918,"California"
48,34.41639,-117.2858,"California"
33,38.102507,-122.237976,"California"
53,34.181977,-118.363036,"California"
10,33.95507,-118.43049,"California"
40,39.53387,-122.190834,"California"
69,32.725226,-116.365203,"California"
57,34.605819,-120.075069,"California"
19,37.864767,-122.302741,"California"
77,34.05977,-117.14731,"California"
75,35.046528,-118.162833,"California"
21,38.278849,-122.275024,"California"
15,36.233274,-119.766212,"California"
76,34.48974,-120.04692,"California"
61,34.89398,-117.024804,"California"
3,40.452913,-122.298866,"California"
28,37.950741,-121.268523,"California"
40,34.942872,-120.435611,"California"
13,32.79222,-115.56306,"California"
28,38.71209,-121.38109,"California"
7,41.726892,-122.633579,"California"
68,33.447867,-117.088649,"California"
90,34.404281,-118.80998,"California"
58,36.31567,-119.643447,"California"
68,37.654456,-122.031547,"California"
47,35.77417,-117.3714,"California"
10,35.03146,-120.50103,"California"
50,39.18919,-121.99887,"California"
62,39.138773,-121.618549,"California"
59,37.814781,-122.282347,"California"
15,36.634225,-120.382331,"California"
21,35.614668,-120.656912,"California"
65,34.1326,-118.1272,"California"
4,35.331612,-118.999961,"California"
20,35.345607,-118.851825,"California"
84,36.841592,-119.874739,"California"
17,40.55013,-122.38092,"California"
78,36.705474,-119.741332,"California"
35,34.725352,-120.428717,"California"
23,34.2431,-117.27235,"California"
56,33.99636,-117.4924,"California"
62,34.19925,-118.53276,"California"
51,34.14435,-117.85036,"California"
29,37.682635,-121.442495,"California"
70,36.843425,-121.3621,"California"
85,37.642165,-120.994212,"California"
23,33.0325,-115.62361,"California"
74,38.890941,-121.003373,"California"
85,37.936013,-122.026154,"California"
20,39.166017,-120.148833,"California"
82,38.403765,-122.818294,"California"
66,37.9604,-122.356811,"California"
89,35.051454,-119.40262,"California"
58,36.953256,-120.034203,"California"
10,35.36631,-120.84271,"California"
85,34.403052,-119.457914,"California"
27,39.708454,-121.617309,"California"
17,39.14566,-123.20298,"California"
14,34.890667,-120.432844,"California"
49,33.67649,-117.33098,"California"
84,34.44551,-119.8284,"California"
37,37.961578,-121.281414,"California"
61,33.92513,-117.95264,"California"
85,33.9397,-115.4108,"California"
