"","YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_NM","ORIGIN_WAC","DEST","DEST_CITY_NAME","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY"
"503091",2021,4,11,29,1,"11/29/2021 12:00:00 AM","UA","N401UA",1057,"DEN","Denver, CO","Colorado",82,"ORD","Chicago, IL","Illinois",41,145,140,-5,0,0,-1,"0001-0559",10,150,440,8,503,448,-15,0,0,-1,"0001-0559",0,"",138,128,110,1,888,4,NA,NA,NA,NA,NA
"267646",2021,4,11,26,5,"11/26/2021 12:00:00 AM","NK","N916NK",396,"LAS","Las Vegas, NV","Nevada",85,"PHL","Philadelphia, PA","Pennsylvania",23,2240,2233,-7,0,0,-1,"2200-2259",19,2252,557,6,617,603,-14,0,0,-1,"0600-0659",0,"",277,270,245,1,2176,9,NA,NA,NA,NA,NA
"177404",2021,4,11,10,3,"11/10/2021 12:00:00 AM","WN","N7883A",153,"PDX","Portland, OR","Oregon",92,"SMF","Sacramento, CA","California",91,1200,1212,12,12,0,0,"1200-1259",9,1221,1324,4,1330,1328,-2,0,0,-1,"1300-1359",0,"",90,76,63,1,479,2,NA,NA,NA,NA,NA
"266285",2021,4,11,24,3,"11/24/2021 12:00:00 AM","NK","N628NK",3167,"LAS","Las Vegas, NV","Nevada",85,"MIA","Miami, FL","Florida",33,1710,1706,-4,0,0,-1,"1700-1759",14,1720,25,5,51,30,-21,0,0,-2,"0001-0559",0,"",281,264,245,1,2174,9,NA,NA,NA,NA,NA
"532280",2021,4,11,19,5,"11/19/2021 12:00:00 AM","UA","N47414",578,"ORD","Chicago, IL","Illinois",41,"PHL","Philadelphia, PA","Pennsylvania",23,1400,1351,-9,0,0,-1,"1400-1459",13,1404,1632,4,1705,1636,-29,0,0,-2,"1700-1759",0,"",125,105,88,1,678,3,NA,NA,NA,NA,NA
"225858",2021,4,11,18,4,"11/18/2021 12:00:00 AM","WN","N238WN",1969,"TPA","Tampa, FL","Florida",33,"LGA","New York, NY","New York",22,720,721,1,1,0,0,"0700-0759",12,733,944,8,1005,952,-13,0,0,-1,"1000-1059",0,"",165,151,131,1,1010,5,NA,NA,NA,NA,NA
"340898",2021,4,11,9,2,"11/9/2021 12:00:00 AM","AA","N956AN",1737,"MEM","Memphis, TN","Tennessee",54,"CLT","Charlotte, NC","North Carolina",36,1300,1249,-11,0,0,-1,"1300-1359",9,1258,1506,16,1550,1522,-28,0,0,-2,"1500-1559",0,"",110,93,68,1,511,3,NA,NA,NA,NA,NA
"490397",2021,4,11,10,3,"11/10/2021 12:00:00 AM","OO","N806SK",3989,"ATW","Appleton, WI","Wisconsin",45,"MSP","Minneapolis, MN","Minnesota",63,1805,1800,-5,0,0,-1,"1800-1859",12,1812,1900,4,1928,1904,-24,0,0,-2,"1900-1959",0,"",83,64,48,1,236,1,NA,NA,NA,NA,NA
"249266",2021,4,11,20,6,"11/20/2021 12:00:00 AM","B6","N562JB",1729,"JFK","New York, NY","New York",22,"RSW","Fort Myers, FL","Florida",33,1450,1452,2,2,0,0,"1400-1459",12,1504,1749,3,1801,1752,-9,0,0,-1,"1800-1859",0,"",191,180,165,1,1074,5,NA,NA,NA,NA,NA
"346272",2021,4,11,19,5,"11/19/2021 12:00:00 AM","AA","N166NN",2714,"DFW","Dallas/Fort Worth, TX","Texas",74,"TPA","Tampa, FL","Florida",33,930,927,-3,0,0,-1,"0900-0959",15,942,1246,7,1254,1253,-1,0,0,-1,"1200-1259",0,"",144,146,124,1,929,4,NA,NA,NA,NA,NA
