"month","Endeavor Airlines","American Airlines","Alaska Airlines","Jetblue Airlines","Delta Airlines","ExpressJet Airlines","Frontier Airlines","Allegiant Airlines","Hawaiian Airlines","Envoy Airlines","Spirit Airlines","PSA Airlines","SkyWest Airlines","Horizon Airlines","United Airlines","Virgin America Airlines","Southwest Airlines","Mesa Airlines","Republic Airlines","Endeavor Airlines Rank","Endeavor Airlines Delay","American Airlines Rank","American Airlines Delay","Alaska Airlines Rank","Alaska Airlines Delay","Jetblue Airlines Rank","Jetblue Airlines Delay","Delta Airlines Rank","Delta Airlines Delay","ExpressJet Airlines Rank","ExpressJet Airlines Delay","Frontier Airlines Rank","Frontier Airlines Delay","Allegiant Airlines Rank","Allegiant Airlines Delay","Hawaiian Airlines Rank","Hawaiian Airlines Delay","Envoy Airlines Rank","Envoy Airlines Delay","Spirit Airlines Rank","Spirit Airlines Delay","PSA Airlines Rank","PSA Airlines Delay","SkyWest Airlines Rank","SkyWest Airlines Delay","Horizon Airlines Rank","Horizon Airlines Delay","United Airlines Rank","United Airlines Delay","Virgin America Airlines Rank","Virgin America Airlines Delay","Southwest Airlines Rank","Southwest Airlines Delay","Mesa Airlines Rank","Mesa Airlines Delay","Republic Airlines Rank","Republic Airlines Delay"
"Jan",1.33774834437086,-3.04081632653061,-0.386363636363636,13.5267175572519,-4.90187891440501,3.29230769230769,0.457627118644068,9.5593220338983,1.1,11.2977099236641,-4.05769230769231,-2.3801652892562,9.02173913043478,-6,-0.700296735905044,0.125,-1.8756157635468,2.46218487394958,4.69032258064516,1,-4.22,11,2.55,2,-1.26,17,7.02,3,-1.11,19,8.75,15,4.19,18,7.19,4,-1.03,9,1.74,12,2.56,10,2.35,14,3.51,5,-0.87,13,3.04,7,-0.39,8,-0.08,16,6.75,6,-0.8
"Feb",0.935185185185185,3.47165991902834,-5.30952380952381,4.7103825136612,-0.0262237762237762,2.80952380952381,6.98837209302326,-3.74074074074074,1.13461538461538,6.67153284671533,2.05454545454545,5.86614173228346,4.61477572559367,3.40625,1.0058651026393,-7.23076923076923,-1.40700808625337,14.2843137254902,-2.78362573099415,1,-4.22,11,2.55,2,-1.26,17,7.02,3,-1.11,19,8.75,15,4.19,18,7.19,4,-1.03,9,1.74,12,2.56,10,2.35,14,3.51,5,-0.87,13,3.04,7,-0.39,8,-0.08,16,6.75,6,-0.8
"Mar",-7.87826086956522,-2.40670859538784,-3.77551020408163,5.25,-5.05514705882353,5.94915254237288,-2.6,1.86111111111111,-0.765957446808511,-2.26851851851852,-6.08270676691729,-0.258333333333333,0.590078328981723,-8.66666666666667,-1.5344262295082,5.92857142857143,0.148477157360406,-1.12380952380952,-6.97402597402597,1,-4.22,11,2.55,2,-1.26,17,7.02,3,-1.11,19,8.75,15,4.19,18,7.19,4,-1.03,9,1.74,12,2.56,10,2.35,14,3.51,5,-0.87,13,3.04,7,-0.39,8,-0.08,16,6.75,6,-0.8
"Apr",-6.54109589041096,-1.33777777777778,0.17910447761194,3.10666666666667,0.588495575221239,10.1803278688525,-0.584905660377358,7.06153846153846,-1.5,-8.3781512605042,7.80808080808081,-5.01785714285714,0.905569007263923,-6.31818181818182,-3.63320463320463,NA,-2.45628415300546,-3.32954545454545,-1.20408163265306,1,-4.22,11,2.55,2,-1.26,17,7.02,3,-1.11,19,8.75,15,4.19,18,7.19,4,-1.03,9,1.74,12,2.56,10,2.35,14,3.51,5,-0.87,13,3.04,7,-0.39,8,-0.08,16,6.75,6,-0.8
"May",-7.26388888888889,3.58412098298677,-5.9453125,4.83870967741935,-2.19527896995708,3.10204081632653,7.85,12.8395061728395,-0.611111111111111,-3.76258992805755,5.88181818181818,-0.925925925925926,-5.3396674584323,-2.48,4.54849498327759,NA,0.0624249699879952,3.34375,-6.04545454545455,1,-4.22,11,2.55,2,-1.26,17,7.02,3,-1.11,19,8.75,15,4.19,18,7.19,4,-1.03,9,1.74,12,2.56,10,2.35,14,3.51,5,-0.87,13,3.04,7,-0.39,8,-0.08,16,6.75,6,-0.8
"Jun",-2.015625,9.72101449275362,0.541095890410959,10.6457142857143,1.76952380952381,2.70454545454545,9.56521739130435,15.84375,1.28571428571429,11.6875,-0.732673267326733,0.823529411764706,8.75934579439252,3.625,5.19776119402985,NA,3.43488649940263,7.96666666666667,5.08092485549133,1,-4.22,11,2.55,2,-1.26,17,7.02,3,-1.11,19,8.75,15,4.19,18,7.19,4,-1.03,9,1.74,12,2.56,10,2.35,14,3.51,5,-0.87,13,3.04,7,-0.39,8,-0.08,16,6.75,6,-0.8
"Jul",-3.82644628099174,6.89385474860335,-2.91851851851852,20.3972602739726,4.67032967032967,9.20454545454546,6.05333333333333,19.3544303797468,-1.31111111111111,0.23841059602649,12.3615384615385,6.92982456140351,7.79805352798054,4.17391304347826,7.87741935483871,NA,2.19551681195517,23.4188034188034,4.5886524822695,1,-4.22,11,2.55,2,-1.26,17,7.02,3,-1.11,19,8.75,15,4.19,18,7.19,4,-1.03,9,1.74,12,2.56,10,2.35,14,3.51,5,-0.87,13,3.04,7,-0.39,8,-0.08,16,6.75,6,-0.8
"Aug",-1.98275862068966,3.29479768786127,1.22047244094488,8.5531914893617,3.82098765432099,11.695652173913,8.74025974025974,-0.0333333333333333,-2,5.51891891891892,3.952,14.0196078431373,9.47333333333333,-6.5625,6.68195718654434,NA,1.63049095607235,12.1875,5.62430939226519,1,-4.22,11,2.55,2,-1.26,17,7.02,3,-1.11,19,8.75,15,4.19,18,7.19,4,-1.03,9,1.74,12,2.56,10,2.35,14,3.51,5,-0.87,13,3.04,7,-0.39,8,-0.08,16,6.75,6,-0.8
"Sep",-6.99428571428571,3.8580121703854,-0.626760563380282,-4.43971631205674,-3.71946564885496,22.5972222222222,-0.24,-1.22916666666667,-3.90322580645161,-3.36942675159236,3.08108108108108,-1.31386861313869,0.331196581196581,-2.58823529411765,5.37461300309598,NA,-1.8801652892562,3.76229508196721,-2.40449438202247,1,-4.22,11,2.55,2,-1.26,17,7.02,3,-1.11,19,8.75,15,4.19,18,7.19,4,-1.03,9,1.74,12,2.56,10,2.35,14,3.51,5,-0.87,13,3.04,7,-0.39,8,-0.08,16,6.75,6,-0.8
"Oct",-2.97237569060773,3.0479302832244,1.58333333333333,2.91428571428571,-2.9618320610687,10.975,7.0625,9.57142857142857,-5.17073170731707,2.19230769230769,-3.06140350877193,-3.325,1.02941176470588,-2.35714285714286,8.68098159509202,NA,0.877551020408163,12.6666666666667,-5.37142857142857,1,-4.22,11,2.55,2,-1.26,17,7.02,3,-1.11,19,8.75,15,4.19,18,7.19,4,-1.03,9,1.74,12,2.56,10,2.35,14,3.51,5,-0.87,13,3.04,7,-0.39,8,-0.08,16,6.75,6,-0.8
"Nov",-8.50555555555556,-1.84130434782609,-4.89115646258503,-0.846715328467153,-4.5281954887218,9.51428571428571,4.36470588235294,4.16666666666667,-3.45283018867925,-3.36904761904762,7.96946564885496,9.56756756756757,0.73305954825462,-3.76190476190476,-1.996875,NA,-2.27260083449235,2.52830188679245,-6.42777777777778,1,-4.22,11,2.55,2,-1.26,17,7.02,3,-1.11,19,8.75,15,4.19,18,7.19,4,-1.03,9,1.74,12,2.56,10,2.35,14,3.51,5,-0.87,13,3.04,7,-0.39,8,-0.08,16,6.75,6,-0.8
