"region","value","latitude","longitude"
"alabama",3.90598290598291,33.2588817,-86.8295337
"alaska",-1.89236111111111,64.4459613,-149.680909
"arizona",7.12660028449502,34.395342,-111.763275
"arkansas",17.969696969697,35.2048883,-92.4479108
"california",6.13008607198748,36.7014631,-118.755997
"colorado",7.78845220766618,38.7251776,-105.607716
"connecticut",4.953125,41.6500201,-72.7342163
"florida",8.44620015048909,27.7567667,-81.4639835
"georgia",7.5503380916604,32.3293809,-83.1137366
"hawaii",2.73316708229426,19.5938015,-155.428370097169
"idaho",8.30630630630631,43.6447642,-114.015407
"illinois",10.1976470588235,40.0796606,-89.4337288
"indiana",4.54028436018957,40.3270127,-86.1746933
"iowa",6.80952380952381,41.9216734,-93.3122705
"kansas",12.1743119266055,38.27312,-98.5821872
"kentucky",5.9017094017094,37.5726028,-85.1551411
"louisiana",6.49705304518664,30.8703881,-92.007126
"maine",0.202380952380952,45.709097,-68.8590201
"maryland",9.44761904761905,39.5162401,-76.9382069
"massachusetts",7.02257336343115,42.3788774,-72.032366
"michigan",5.97083653108212,43.6211955,-84.6824346
"minnesota",8.2963689892051,45.9896587,-94.6113288
"mississippi",3.57777777777778,32.9715285,-89.7348497
"missouri",6.6508120649652,38.7604815,-92.5617875
"montana",2.81325301204819,47.3752671,-109.638757
"nebraska",2.55609756097561,41.7370229,-99.5873816
"nevada",9.22316602316602,39.5158825,-116.8537227
"new hampshire",2,43.4849133,-71.6553992
"new jersey",9.67472793228537,40.0757384,-74.4041622
"new mexico",3.88372093023256,34.5708167,-105.993007
"new york",10.7525303643725,40.7127281,-74.0060152
"north carolina",5.85076045627376,35.6729639,-79.0392919
"north dakota",16.4955752212389,47.6201461,-100.540737
"ohio",6.3099173553719,40.2253569,-82.6881395
"oklahoma",7.49805447470817,34.9550817,-97.2684063
"oregon",4.72924901185771,43.9792797,-120.737257
"pennsylvania",7.65074906367041,40.9699889,-77.7278831
"puerto rico",11.561320754717,18.2247706,-66.4858295
"rhode island",5.32291666666667,41.7962409,-71.5992372
"south carolina",9.18912529550827,33.6874388,-80.4363743
"south dakota",38.1951219512195,44.6471761,-100.348761
"tennessee",6.64871481028152,35.7730076,-86.2820081
"texas",8.9104563835933,31.2638905,-98.5456116
"u.s. pacific trust territories and possessions",-5.33333333333333,NA,NA
"u.s. virgin islands",-2.5,17.789187,-64.7080574
"utah",6.94288793103448,39.4225192,-111.714358
"vermont",8.53061224489796,44.5990718,-72.5002608
"virginia",8.43598382749326,37.1232245,-78.4927721
"washington",5.02190395956192,38.8950368,-77.0365427
"west virginia",25.1,38.4758406,-80.8408415
"wisconsin",4.58841463414634,44.4308975,-89.6884637
"wyoming",14.9722222222222,43.1700264,-107.568534
